"pkg","res"
"1","abcrf","ok"
"2","AbsFilterGSEA","ok"
"3","acc","ok"
"4","acebayes","ok"
"5","ACEt","ok"
"6","AdaptiveSparsity","ok"
"7","ADMM","ok"
"8","AHR","ok"
"9","Amelia","ok"
"10","anMC","ok"
"11","ANN2","ok"
"12","anomalyDetection","ok"
"13","arrApply","ok"
"14","ASPBay","ok"
"15","attrCUSUM","ok"
"16","BaBooN","ok"
"17","BacArena","ok"
"18","BAMBI","ok"
"19","Barycenter","ok"
"20","BatchMap","ok"
"21","BayesBD","ok"
"22","BayesComm","ok"
"23","bayesDP","ok"
"24","bayesImageS","ok"
"25","bayeslm","ok"
"26","bayesm","ok"
"27","bayou","ok"
"28","BCEE","ok"
"29","bcp","ok"
"30","bcROCsurface","ok"
"31","BCSub","ok"
"32","bfa","ok"
"33","bife","ok"
"34","BIFIEsurvey","ok"
"35","bigKRLS","ok"
"36","biglasso","ok"
"37","bigReg","ok"
"38","bigstatsr","failed"
"39","bigtime","ok"
"40","BigVAR","ok"
"41","binaryGP","ok"
"42","BIPOD","ok"
"43","blockmodels","ok"
"44","blockseg","ok"
"45","BNPMIXcluster","ok"
"46","BosonSampling","ok"
"47","BradleyTerryScalable","ok"
"48","bssm","ok"
"49","BTLLasso","ok"
"50","BuyseTest","ok"
"51","bvarsv","ok"
"52","catSurv","ok"
"53","ccaPP","ok"
"54","cccp","ok"
"55","cctools","ok"
"56","cda","ok"
"57","CDM","ok"
"58","CFC","ok"
"59","changepointsHD","ok"
"60","ChannelAttribution","ok"
"61","CircularDDM","ok"
"62","cIRT","ok"
"63","cladoRcpp","ok"
"64","ClusterR","ok"
"65","ClusVis","ok"
"66","coala","ok"
"67","coda.base","ok"
"68","cOde","ok"
"69","coneproj","ok"
"70","copCAR","ok"
"71","cord","ok"
"72","Countr","ok"
"73","CovTools","ok"
"74","CoxPlus","ok"
"75","cpr","ok"
"76","cqrReg","ok"
"77","crawl","ok"
"78","Crossover","ok"
"79","ctmcd","ok"
"80","CVR","ok"
"81","cytometree","ok"
"82","DatabionicSwarm","ok"
"83","DatAssim","ok"
"84","DepthProc","ok"
"85","dfcomb","ok"
"86","dfmta","ok"
"87","diagis","ok"
"88","DiffusionRgqd","ok"
