"pkg","res"
"1","accelerometry",0
"2","AdaptiveSparsity",0
"3","algstat",0
"4","ALKr",0
"5","Amelia",0
"6","apcluster",0
"7","ASPBay",0
"8","BalancedSampling",0
"9","BayesComm",0
"10","BayesFactor",0
"11","bayou",0
"12","bcp",0
"13","bcpa",0
"14","bfa",0
"15","bfp",0
"16","bifactorial",0
"17","BIFIEsurvey",0
"18","BIPOD",0
"19","blockcluster",0
"20","btf",0
"21","bvarsv",0
"22","CARBayes",0
"23","CARBayesST",0
"24","ccaPP",0
"25","cccp",0
"26","cda",0
"27","CDM",0
"28","cgAUC",0
"29","CIDnetworks",0
"30","cladoRcpp",0
"31","classify",0
"32","clere",0
"33","climdex.pcic",0
"34","clogitL1",0
"35","clusteval",0
"36","ClustVarLV",0
"37","CMF",0
"38","CompGLM",0
"39","ConConPiWiFun",0
"40","coneproj",0
"41","copCAR",0
"42","CorReg",0
"43","Crossover",0
"44","dbmss",0
"45","ddalpha",0
"46","Delaporte",0
"47","dendextendRcpp",0
"48","DepthProc",0
"49","DetMCD",0
"50","dfcomb",0
"51","dfmta",0
"52","dils",0
"53","disclapmix",0
"54","diversitree",0
"55","diveRsity",0
"56","divo",0
"57","DNAprofiles",0
"58","DNAtools",0
"59","dplyr",0
"60","dslice",0
"61","DStree",0
"62","ecp",0
"63","eive",0
"64","EpiContactTrace",0
"65","ESGtoolkit",0
"66","EWGoF",0
"67","fastGHQuad",0
"68","FastHCS",0
"69","fastM",0
"70","FastPCS",0
"71","FastRCS",0
"72","FBFsearch",0
"73","fdaMixed",0
"74","FDGcopulas",0
"75","FDRreg",0
"76","FeatureHashing",0
"77","fICA",0
"78","FisHiCal",1
"79","flip",0
"80","FLSSS",0
"81","forecast",0
"82","FRESA.CAD",0
"83","fugeR",0
"84","FunChisq",0
"85","Funclustering",0
"86","fwsim",0
"87","gaselect",0
"88","GCPM",0
"89","geiger",0
"90","GeneticTools",0
"91","GENLIB",0
"92","geoCount",0
"93","glcm",0
"94","GMCM",0
"95","gMWT",0
"96","GPareto",0
"97","GPvam",0
"98","gRbase",0
"99","gRim",0
"100","growcurves",0
"101","growfunctions",0
"102","GSE",0
"103","GUILDS",0
"104","GUTS",0
"105","GxM",0
"106","hawkes",0
"107","HLMdiag",0
"108","hsphase",0
"109","httpuv",0
